make build --directory=src -s
 linking num object lib
 linking object lib
building exec src

1000,	0.82,	0.83
2000,	2.31,	2.36
3000,	4.98,	5.06
4000,	7.41,	7.58
5000,	11.80,	12.10
6000,	13.05,	13.50
7000,	17.25,	17.70
8000,	20.84,	21.55
9000,	28.47,	29.26
10000,	30.33,	31.55
11000,	31.46,	32.68
12000,	32.78,	34.59
13000,	39.67,	41.65
14000,	48.47,	50.85
15000,	52.52,	55.01
16000,	55.07,	57.50
17000,	68.79,	71.70
18000,	71.12,	74.48
19000,	73.11,	76.64
20000,	74.32,	79.28
21000,	75.82,	80.12
22000,	76.91,	81.57
23000,	77.94,	83.51
24000,	81.95,	89.04
25000,	98.11,	105.61
26000,	112.12,	120.01
27000,	120.41,	128.80
28000,	126.21,	134.31
29000,	130.73,	138.39
30000,	133.33,	141.81
31000,	135.23,	146.11
32000,	137.58,	146.85
33000,	164.43,	174.65
34000,	167.17,	180.92
35000,	170.20,	183.02
36000,	170.55,	186.31
37000,	172.08,	188.24
38000,	173.24,	191.08
39000,	175.36,	190.05
40000,	177.71,	193.85
41000,	180.48,	201.38
42000,	180.43,	198.17
43000,	181.70,	203.85
44000,	182.27,	201.15
45000,	184.65,	209.12
46000,	195.40,	218.11
47000,	215.00,	239.27
48000,	236.37,	261.33
49000,	258.95,	287.18
50000,	274.01,	298.16
51000,	288.86,	321.85
52000,	297.29,	326.03
53000,	301.66,	336.43
54000,	307.64,	336.62
55000,	313.25,	349.92
56000,	317.34,	352.94
57000,	324.58,	356.81
58000,	330.88,	368.20
59000,	325.85,	357.54
60000,	328.53,	375.09
61000,	333.86,	369.68
62000,	336.61,	378.78
63000,	351.95,	400.06
64000,	340.67,	382.89
65000,	346.68,	391.76
