make build --directory=src -s
building object lib/linear
 linking num object lib
 linking object lib
building exec src

1000,	0.83,	0.84
2000,	3.76,	3.81
3000,	8.23,	8.31
4000,	16.10,	16.27
5000,	23.85,	24.15
6000,	34.52,	34.97
7000,	48.44,	48.89
8000,	65.18,	65.89
9000,	80.88,	81.80
10000,	101.75,	103.11
11000,	122.06,	123.29
12000,	148.61,	150.46
13000,	174.64,	176.60
14000,	203.53,	205.92
15000,	236.74,	239.46
16000,	270.90,	273.33
17000,	304.18,	307.23
18000,	342.60,	345.89
19000,	382.54,	386.22
20000,	431.14,	435.97
